"Document","DOI","Year","Local.Citations","Global.Citations"
"GARNER DM, 1983, INT J EATING DISORD","3.0.CO;2-6"" target=""_blank"">10.1002/1098-108X(198321)2:23.0.CO;2-6","1983","573","3128"
"COOPER PJ, 1987, INT J EATING DISORD","3.0.CO;2-O"" target=""_blank"">10.1002/1098-108X(198707)6:43.0.CO;2-O","1987","216","1251"
"HOEK HW, 2003, INT J EATING DISORD","10.1002/eat.10222","2003","157","972"
"STROBER M, 1997, INT J EATING DISORD","3.0.CO;2-N"" target=""_blank"">10.1002/(SICI)1098-108X(199712)22:43.0.CO;2-N","1997","139","674"
"SPITZER RL, 1993, INT J EATING DISORD","3.0.CO;2-#"" target=""_blank"">10.1002/1098-108X(199303)13:23.0.CO;2-#","1993","131","668"
"BERG KC, 2012, INT J EATING DISORD-a","10.1002/eat.20931","2012","126","410"
"SPITZER RL, 1992, INT J EATING DISORD","3.0.CO;2-S"" target=""_blank"">10.1002/1098-108X(199204)11:33.0.CO;2-S","1992","123","647"
"VAN STRIEN T, 1986, INT J EATING DISORD-a","3.0.CO;2-T"" target=""_blank"">10.1002/1098-108X(198602)5:23.0.CO;2-T","1986","107","1846"
"BERKMAN ND, 2007, INT J EATING DISORD","10.1002/eat.20369","2007","79","341"
"BRYANT-WAUGH RJ, 1996, INT J EATING DISORD","3.0.CO;2-G"" target=""_blank"">10.1002/(SICI)1098-108X(199605)19:43.0.CO;2-G","1996","78","319"
"VALL E, 2015, INT J EATING DISORD","10.1002/eat.22411","2015","76","158"
"TREASURE J, 2013, J EATING DISORD","10.1186/2050-2974-1-13","2013","76","237"
"BLACK CMD, 1996, INT J EATING DISORD","3.0.CO;2-4"" target=""_blank"">10.1002/(SICI)1098-108X(199607)20:13.0.CO;2-4","1996","72","221"
"BULIK CM, 2007, INT J EATING DISORD-a","10.1002/eat.20367","2007","70","343"
"RIZVI SL, 2000, INT J EATING DISORD","3.0.CO;2-K"" target=""_blank"">10.1002/1098-108X(200011)28:33.0.CO;2-K","2000","68","185"
"SERPELL L, 1999, INT J EATING DISORD","3.0.CO;2-D"" target=""_blank"">10.1002/(SICI)1098-108X(199903)25:23.0.CO;2-D","1999","62","245"
"LUCE KH, 2008, INT J EATING DISORD","10.1002/eat.20504","2008","61","205"
"CASH TF, 1997, INT J EATING DISORD","3.0.CO;2-J"" target=""_blank"">10.1002/(SICI)1098-108X(199709)22:23.0.CO;2-J","1997","59","498"
"KEEL PK, 2010, INT J EATING DISORD-a","10.1002/eat.20810","2010","57","219"
"FICHTER MM, 2006, INT J EATING DISORD","10.1002/eat.20215","2006","57","236"
"STRIEGEL-MOORE RH, 2000, INT J EATING DISORD","3.0.CO;2-U"" target=""_blank"">10.1002/(SICI)1098-108X(200005)27:43.0.CO;2-U","2000","57","185"
"ARNOW B, 1995, INT J EATING DISORD","3.0.CO;2-V"" target=""_blank"">10.1002/1098-108X(199507)18:13.0.CO;2-V","1995","55","418"
"PETERSON CB, 2007, INT J EATING DISORD","10.1002/eat.20373","2007","53","210"
"KEEL PK, 2005, INT J EATING DISORD","10.1002/eat.20179","2005","53","126"
"RIEGER E, 2000, INT J EATING DISORD","3.0.CO;2-Y"" target=""_blank"">10.1002/1098-108X(200012)28:43.0.CO;2-Y","2000","53","107"
"LE GRANGE D, 1992, INT J EATING DISORD","3.0.CO;2-W"" target=""_blank"">10.1002/1098-108X(199212)12:43.0.CO;2-W","1992","52","261"
"SHROFF H, 2006, INT J EATING DISORD","10.1002/eat.20247","2006","50","183"
"MARCUS MD, 1990, INT J EATING DISORD","3.0.CO;2-K"" target=""_blank"">10.1002/1098-108X(199001)9:13.0.CO;2-K","1990","50","177"
"GRILO CM, 2004, INT J EATING DISORD","10.1002/eat.10238","2004","49","170"
"KLUMP KL, 2009, INT J EATING DISORD","10.1002/eat.20589","2009","48","235"
"CROW SJ, 2002, INT J EATING DISORD","10.1002/eat.10088","2002","48","171"
"GROESZ LM, 2002, INT J EATING DISORD","10.1002/eat.10005","2002","48","960"
"PYLE RL, 1983, INT J EATING DISORD","3.0.CO;2-7"" target=""_blank"">10.1002/1098-108X(198321)2:33.0.CO;2-7","1983","48","238"
"DONINI LM, 2005, EATING WEIGHT DISORD","10.1007/BF03327537","2005","48","146"
"WISEMAN CV, 1992, INT J EATING DISORD","3.0.CO;2-T"" target=""_blank"">10.1002/1098-108X(199201)11:13.0.CO;2-T","1992","47","480"
"KILLEN JD, 1993, INT J EATING DISORD","3.0.CO;2-0"" target=""_blank"">10.1002/1098-108X(199305)13:43.0.CO;2-0","1993","46","201"
"ZABALA MJ, 2009, EUR EATING DISORD REV","10.1002/erv.925","2009","46","116"
"GODART NT, 2002, INT J EATING DISORD","10.1002/eat.10096","2002","45","241"
"PEÃ±AS-LLEDÃ³ E, 2002, INT J EATING DISORD-a-b","10.1002/eat.10042","2002","45","142"
"EDDY KT, 2002, INT J EATING DISORD","10.1002/eat.10016","2002","45","182"
"BASTIANI AM, 1995, INT J EATING DISORD","3.0.CO;2-X"" target=""_blank"">10.1002/1098-108X(199503)17:23.0.CO;2-X","1995","45","233"
"COUTURIER J, 2013, INT J EATING DISORD-a","10.1002/eat.22042","2013","44","169"
"COUTURIER J, 2006, INT J EATING DISORD","10.1002/eat.20309","2006","44","145"
"KATZMAN DK, 2005, INT J EATING DISORD","10.1002/eat.20118","2005","44","250"
"CARTER JC, 2001, INT J EATING DISORD","10.1002/eat.1071","2001","44","111"
"POLLICE C, 1997, INT J EATING DISORD","3.0.CO;2-W"" target=""_blank"">10.1002/(SICI)1098-108X(1997)21:43.0.CO;2-W","1997","44","217"
"WILSON GT, 1993, INT J EATING DISORD","3.0.CO;2-T"" target=""_blank"">10.1002/1098-108X(199301)13:13.0.CO;2-T","1993","44","166"
"MACHADO PPP, 2007, INT J EATING DISORD","10.1002/eat.20358","2007","43","196"
"THOMPSON JK, 2004, INT J EATING DISORD","10.1002/eat.10257","2004","43","617"
"LUCE KH, 1999, INT J EATING DISORD","3.0.CO;2-M"" target=""_blank"">10.1002/(SICI)1098-108X(199904)25:33.0.CO;2-M","1999","43","584"
"HEINBERG LJ, 1995, INT J EATING DISORD","3.0.CO;2-Y"" target=""_blank"">10.1002/1098-108X(199501)17:13.0.CO;2-Y","1995","43","447"
"GELLER J, 2000, INT J EATING DISORD-a-b","3.0.CO;2-U"" target=""_blank"">10.1002/1098-108X(200007)28:13.0.CO;2-U","2000","42","167"
"TELCH CF, 1988, INT J EATING DISORD","3.0.CO;2-W"" target=""_blank"">10.1002/1098-108X(198801)7:13.0.CO;2-W","1988","42","164"
"BULIK CM, 2000, INT J EATING DISORD","3.0.CO;2-G"" target=""_blank"">10.1002/1098-108X(200009)28:23.0.CO;2-G","2000","41","160"
"ROSEN JC, 1996, INT J EATING DISORD-a","3.0.CO;2-Z"" target=""_blank"">10.1002/(SICI)1098-108X(199611)20:33.0.CO;2-Z","1996","41","230"
"ROSEN JC, 1990, INT J EATING DISORD","3.0.CO;2-K"" target=""_blank"">10.1002/1098-108X(199009)9:53.0.CO;2-K","1990","41","145"
"MEYER C, 2011, EUR EATING DISORD REV-a","10.1002/erv.1122","2011","41","106"
"MAHON J, 2000, EUR EATING DISORD REV","3.0.CO;2-3"" target=""_blank"">10.1002/(SICI)1099-0968(200005)8:33.0.CO;2-3","2000","41","106"
"CARTER JC, 1997, INT J EATING DISORD","3.0.CO;2-D"" target=""_blank"">10.1002/(SICI)1098-108X(199709)22:23.0.CO;2-D","1997","40","158"
"MARQUES L, 2011, INT J EATING DISORD","10.1002/eat.20787","2011","39","202"
"COUTURIER J, 2006, INT J EATING DISORD-a","10.1002/eat.20224","2006","39","92"
"WILFLEY DE, 2003, INT J EATING DISORD","10.1002/eat.10209","2003","39","198"
"BECKER AE, 2003, INT J EATING DISORD-a","10.1002/eat.10129","2003","39","119"
"WILFLEY DE, 2000, INT J EATING DISORD","3.0.CO;2-G"" target=""_blank"">10.1002/(SICI)1098-108X(200004)27:33.0.CO;2-G","2000","39","181"
"TELCH CF, 1994, INT J EATING DISORD","3.0.CO;2-0"" target=""_blank"">10.1002/1098-108X(199401)15:13.0.CO;2-0","1994","39","197"
"JOHNSON CL, 1982, INT J EATING DISORD","3.0.CO;2-K"" target=""_blank"">10.1002/1098-108X(198223)2:13.0.CO;2-K","1982","39","181"
"DONINI LM, 2004, EATING WEIGHT DISORD","10.1007/BF03325060","2004","39","134"
"STROTHER E, 2012, EATING DISORD","10.1080/10640266.2012.715512","2012","39","157"
"SWINBOURNE JM, 2007, EUR EATING DISORD REV","10.1002/erv.784","2007","39","194"
"TREASURE J, 1997, EUR EATING DISORD REV","3.0.CO;2-6"" target=""_blank"">10.1002/(SICI)1099-0968(199706)5:23.0.CO;2-6","1997","39","111"
"MOND JM, 2004, INT J EATING DISORD","10.1002/eat.20017","2004","38","172"
"STRIEGEL-MOORE RH, 2000, INT J EATING DISORD-a","3.0.CO;2-1"" target=""_blank"">10.1002/(SICI)1098-108X(200004)27:33.0.CO;2-1","2000","38","136"
"DE ZWAAN M, 1994, INT J EATING DISORD","3.0.CO;2-6"" target=""_blank"">10.1002/1098-108X(199401)15:13.0.CO;2-6","1994","38","195"
"ABRAMS KK, 1993, INT J EATING DISORD","3.0.CO;2-Z"" target=""_blank"">10.1002/1098-108X(199307)14:13.0.CO;2-Z","1993","38","253"
"MOND JM, 2007, INT J EATING DISORD-a","10.1002/eat.20382","2007","37","117"
"LOCK J, 2006, INT J EATING DISORD","10.1002/eat.20328","2006","37","101"
"MOND JM, 2006, INT J EATING DISORD","10.1002/eat.20214","2006","37","133"
"FAIRBURN CG, 2005, INT J EATING DISORD","10.1002/eat.20112","2005","37","166"
"LEWINSOHN PM, 2002, INT J EATING DISORD","10.1002/eat.10103","2002","37","158"
"STICE E, 2000, INT J EATING DISORD","3.0.CO;2-D"" target=""_blank"">10.1002/(SICI)1098-108X(200003)27:23.0.CO;2-D","2000","37","179"
"BENÂ€TOVIM DI, 1989, INT J EATING DISORD","3.0.CO;2-#"" target=""_blank"">10.1002/1098-108X(198911)8:63.0.CO;2-#","1989","37","118"
"HAIGH R, 2003, EUR EATING DISORD REV","10.1002/erv.487","2003","37","98"
"KEEL PK, 2011, INT J EATING DISORD","10.1002/eat.20892","2011","36","102"
