"Paper","Total Citations","TC per Year"
"GARNER DM, 1983, INT J EATING DISORD","3128","82.3158"
"FAIRBURN CG, 1994, INT J EATING DISORD","2735","101.2963"
"VAN STRIEN T, 1986, INT J EATING DISORD-a","1846","52.7429"
"COOPER PJ, 1987, INT J EATING DISORD","1251","36.7941"
"HOEK HW, 2003, INT J EATING DISORD","972","54.0000"
"GROESZ LM, 2002, INT J EATING DISORD","960","50.5263"
"COOPER Z, 1987, INT J EATING DISORD","848","24.9412"
"STROBER M, 1997, INT J EATING DISORD","674","28.0833"
"SPITZER RL, 1993, INT J EATING DISORD","668","23.8571"
"SPITZER RL, 1992, INT J EATING DISORD","647","22.3103"
"THOMPSON JK, 2004, INT J EATING DISORD","617","36.2941"
"LUCE KH, 1999, INT J EATING DISORD","584","26.5455"
"CASH TF, 1997, INT J EATING DISORD","498","20.7500"
"WISEMAN CV, 1992, INT J EATING DISORD","480","16.5517"
"COLLINS ME, 1991, INT J EATING DISORD","457","15.2333"
"HEINBERG LJ, 1995, INT J EATING DISORD","447","17.1923"
"ARNOW B, 1995, INT J EATING DISORD","418","16.0769"
"KILLEN JD, 1994, INT J EATING DISORD-a","417","15.4444"
"BERG KC, 2012, INT J EATING DISORD-a","410","45.5556"
"HOLDERNESS CC, 1994, INT J EATING DISORD","378","14.0000"
"POPE JR HG, 1999, INT J EATING DISORD","356","16.1818"
"SMOLAK L, 2000, INT J EATING DISORD","354","16.8571"
"BULIK CM, 2007, INT J EATING DISORD-a","343","24.5000"
"BERKMAN ND, 2007, INT J EATING DISORD","341","24.3571"
"COHANE GH, 2001, INT J EATING DISORD","324","16.2000"
"BRYANT-WAUGH RJ, 1996, INT J EATING DISORD","319","12.7600"
"BANASIAK SJ, 2001, INT J EATING DISORD","315","15.7500"
"PRESNELL K, 2004, INT J EATING DISORD","312","18.3529"
"CASH TF, 2004, INT J EATING DISORD","291","17.1176"
"O'DEA JA, 2000, INT J EATING DISORD","285","13.5714"
"THOMPSON JK, 1995, INT J EATING DISORD","279","10.7308"
"RUCKER CE, 1992, INT J EATING DISORD","267","9.2069"
"WESTENHOEFER J, 1999, INT J EATING DISORD","265","12.0455"
"LE GRANGE D, 1992, INT J EATING DISORD","261","9.0000"
"STRIEGEL-MOORE RH, 2009, INT J EATING DISORD","257","21.4167"
"THOMPSON JK, 1991, INT J EATING DISORD","256","8.5333"
"AKAN GE, 1995, INT J EATING DISORD","253","9.7308"
"ABRAMS KK, 1993, INT J EATING DISORD","253","9.0357"
"KATZMAN DK, 2005, INT J EATING DISORD","250","15.6250"
"BULIK CM, 2000, INT J EATING DISORD-a","250","11.9048"
"GEARHARDT AN, 2012, INT J EATING DISORD","249","27.6667"
"VAN STRIEN T, 1986, INT J EATING DISORD","248","7.0857"
"SERPELL L, 1999, INT J EATING DISORD","245","11.1364"
"SHAPIRO JR, 2007, INT J EATING DISORD","242","17.2857"
"GODART NT, 2002, INT J EATING DISORD","241","12.6842"
"CRAGO M, 1996, INT J EATING DISORD","239","9.5600"
"PYLE RL, 1983, INT J EATING DISORD","238","6.2632"
"STORY M, 1995, INT J EATING DISORD","237","9.1154"
"TREASURE J, 2013, J EATING DISORD","237","29.6250"
"FICHTER MM, 2006, INT J EATING DISORD","236","15.7333"
"ANDERSEN AE, 1992, INT J EATING DISORD","236","8.1379"
"KLUMP KL, 2009, INT J EATING DISORD","235","19.5833"
"BASTIANI AM, 1995, INT J EATING DISORD","233","8.9615"
"SHISSLAK CM, 1995, INT J EATING DISORD","233","8.9615"
"ROSEN JC, 1996, INT J EATING DISORD-a","230","9.2000"
"TIGGEMANN M, 1996, INT J EATING DISORD","230","9.2000"
"ALTABE M, 1998, INT J EATING DISORD","228","9.9130"
"KRISTELLER JL, 2011, EATING DISORD","227","22.7000"
"HERZOG DB, 2000, INT J EATING DISORD","223","10.6190"
"LEIT RA, 2002, INT J EATING DISORD","222","11.6842"
"BLACK CMD, 1996, INT J EATING DISORD","221","8.8400"
"CATTARIN JA, 1994, EATING DISORD","220","8.1481"
"KEEL PK, 2010, INT J EATING DISORD-a","219","19.9091"
"CASH TF, 2002, INT J EATING DISORD-a","219","11.5263"
"POLLICE C, 1997, INT J EATING DISORD","217","9.0417"
"CASH TF, 2002, EATING DISORD","217","11.4211"
"BYDLOWSKI S, 2005, INT J EATING DISORD","216","13.5000"
"SING L, 2000, INT J EATING DISORD","213","10.1429"
"PETERSON CB, 2007, INT J EATING DISORD","210","15.0000"
"SMOLAK L, 1999, INT J EATING DISORD","209","9.5000"
"RAND CSW, 1997, INT J EATING DISORD","209","8.7083"
"BROWNLEY KA, 2007, INT J EATING DISORD","207","14.7857"
"LUCE KH, 2008, INT J EATING DISORD","205","15.7692"
"STRIEGELÂ€MOORE RH, 1989, INT J EATING DISORD","203","6.3438"
"MARQUES L, 2011, INT J EATING DISORD","202","20.2000"
